4494640;Misil neutralizado.
27999850;Protección del escudo cayendo.
28199458;Sistema hostil. Armas activadas.
28276028;Sistemas de soporte vital críticos.
28697689;Detectando daños por radiación.
29330265;Detectando temperatura extrema del agua.
43830316;Tecnología reparada.
45779246;Misil entrante neutralizado.
48466939;Transparación del carguero iniciada.
50465612;Detectando toxicidad subterránea extrema.
53870591;Protección contra radiación fuera de línea.
54980060;Protección contra radiación cayendo.
56102735;Advertencia. Hipotermia inminente.
64910055;Advertencia.
67834502;Escudo desactivado.
76438123;Nivel de frío crítico.
78601477;Advertencia. Detectando caminante centinela en la región.
80959229;Misil fijado.
90482995;Se acercan enemigos.
105331281;Componente reparado.
117536789;Se necesitan recursos adicionales.
124237937;Detectando radiación nocturna extrema.
126319994;Módulo de transmisión Situal localizado.
151182894;Protección tóxica desactivada.
152151960;Detectando temperatura extrema.
159011641;Transferido.
167092968;Misiles entrantes destruidos.
178898599;Advertencia.
197643865;Impulsor pulsante activado.
200893742;No hay espacios libres en el inventario de la nave.
205039265; Nueva recompensa disponible.
205192151; Advertencia.
208814791; Detectando toxicidad extrema en el agua.
213575654; Detectando temperatura subterránea extrema.
223423849; Añadiendo informe al banco de datos.
225625917;Objetivo completado.
228408571;Advertencia.
236472322;Advertencia. Unidad de combate centinela desplegada.
240393094;Advertencia. Drones centinela activados.
241169623;Misiles destruidos.
243520476;Coordenadas de la estación orbital recibidas.
245522736;Misil enemigo en aproximación.
247183138;Protección térmica cayendo.
258814940;Niveles de radiación críticos.
263752892;Planeta natal reclamado. Enhorabuena.
272020218;Escudo caído.
284071635;Nuevo asistente adquirido.
288672024;Detectando señal de socorro.
299876357;Carguero adquirido.
303147008;Unidades agotadas.
306112359;Daños sufridos.
310439562;Advertencia. Interceptores centinela entrando.
311554138;Desplazamiento warp.
315361790;Carga de la multitool agotada.
328948003;Advertencia.
330331555;Unidades recibidas.
330757140;Naves hostiles derrotadas.
334124591;Base fuera de alcance.
335483997;Protección tóxica estabilizándose.
337859118;Ordenador de la base en línea.
351875919;Límite de construcción alcanzado.
353234571;Nueva arma disponible.
383184645;Inventario lleno.
386328035;Detectando escaneo hostil.
389592073;Misiles entrantes neutralizados.
394683190;Escudo desactivado.
422143449;Área de aterrizaje no despejada.
425064686;Propulsor aéreo activado.
431813574;Contenido del inventario transferido.
436192208;Señal de nave espacial detectada.
449779025;Misil entrante destruido.
459254064;Misil entrando. Impacto inminente.
468585602;Escudo desactivado.
469963216;Iniciando secuencia de aterrizaje.
472197709;Objetivo adquirido.
472945351;Protección contra radiación estabilizándose.
474358890;Nuevo carguero adquirido.
486861530;Advertencia. Fuerza centinela de élite.
487034870;Vista interna seleccionada.
489352730;Detectando temperatura extrema del agua.
490165063;Detectando toxicidad nocturna extrema.
494454783;Barco pirata en la región. Recompensa disponible.
496984207;Tecnología desconectada.
497090550;Añadiendo informe al banco de datos.
498474774;Niveles de toxicidad críticos.
510448383;Objetivo fijado.
512212065;Oxígeno.
514543818;Piratas avistados, recompensa disponible.
531979220;Se necesita combustible.
543874217;Advertencia. Nivel de calor crítico.
545382948;Módulo comercial Situal localizado.
548071497;Vehículo desplegado.
565386800;Salto iniciado.
570428671;Detectando temperatura extrema.
579975330; Vehículo dañado.
580370729; Detectando daños por calor extremo.
582370014; Asistente reclutado.
583871976; Advertencia. Amenaza detectada.
589305615; Sistema cinético de escudo activado.
597203928; Warp activado.
599588736; Advertencia.
623058381; Escudo desactivado.
634281443; Iniciando inicialización del traje del sistema Atlas.
639001585; Células de energía del traje agotadas.
647699088; Nivel de calor crítico.
653680659; Detectando temperatura subterránea extrema.
656990144; Detectando planeta centinela extremo.
665195778; Nueva ranura de inventario disponible.
670654758; Vehículo adquirido.
672799524; Misiles neutralizados.
673620140;Advertencia. Centinelas activados.
675954230;Detectando toxicidad extrema.
682086836;Objeto recibido.
682556976;Nuevo planeta analizado.
682649339;Nuevo vehículo adquirido.
685057897;Añadiendo informe al banco de datos.
691940593;Protección del escudo estabilizándose.
695050944;Misil destruido.
696022064;Detectando radiación extrema.
729203380;Vehículo movilizado.
733521599;Detectando temperatura nocturna extrema.
740830728; Repostar vehículo.
750398819;Producto transferido.
756031301;Misil entrante.
757274367;Tecnología instalada.
760990899;Planeta natal establecido.
768295468;Nivel de oxígeno bajo.
769144390;Recursos insuficientes.
770752691; Escáner dañado, requiere reparación.
774834164; Actualización meteorológica. La tormenta está amainando.
776652442; Misil enemigo entrando.
780959188; No hay espacios libres en el inventario del traje.
781094525; Advertencia. Escudo comprometido.
781458145;Equipo dañado.
792296351;Tecnología recargada.
797446331;Sistema hostil. Activar armas.
797567920;Protección tóxica cayendo.
808789373;Sistemas de soporte vital activados.
811360087;Nuevo asistente reclutado.
824368356;Detectando radiación subterránea extrema.
825969836;Baja potencia del soporte vital.
863051935;Detección de planeta con peligro extremo.
871932351;Escudo desactivado.
884631197;Carga de armas agotada.
891464212;Combustible agotado.
899320928;Protección térmica desactivada.
899453751; Fuga de radiación detectada.
906001973;Saltando.
906332741;Datos de navegación añadidos al banco de datos.
911201958;Unidades insuficientes. Nota motivacional: Me quedaré contigo hasta que mueras.
911633476;Secuencia de inicialización del usuario completada.
925087453; Recursos de elementos transferidos con éxito al inventario de la nave.
929033162; Dispositivo gravemente dañado.
934987809; No hay tecnología activa en la multitool.
935180311; Nueva nave disponible.
943635243; Emergencia. Signos vitales bajos.
951631813; Niveles de temperatura estabilizándose.
957514183; Advertencia. Fuga de radiación.
965460983; Fuera de alcance. Regresar a la base.
968718536; Naves hostiles acercándose.
968836370; Se detectan daños por frío extremo.
969545875; Recursos elementales transferidos con éxito.
972765308; Misil fijado y listo.
973658086; Advertencia. Fuga de lluvia tóxica.
974964870; Daños sufridos por el vehículo.
976899439; Detectando temperatura nocturna extrema.
980411923; Producto recibido.
984473045; Advertencia. Sistema hostil.
985789170; Producto construido.
990719346; Nuevo sistema descubierto.
1003218333; Advertencia.
1006934470;Herramienta múltiple y accesorio láser minero operativos.
1010781808;Añadiendo informe al banco de datos.
1015651622;Advertencia.
1023688906;Propulsores desconectados. Proximidad de la estación espacial.
1032826641;Advertencia meteorológica. Tormenta en camino.
1037434146;Vista externa seleccionada.
1038991804;Nueva tecnología descubierta.
1045889204;Vehículo convocado.
1061736374;Emergencia. Sistema de soporte vital desconectado.
1063828486;Detectando daños tóxicos.
